epoch,accuracy,loss,val_accuracy,val_loss
0,0.9131985902786255,0.3079901337623596,0.5,1.7184371948242188
1,0.45136740803718567,0.7979624271392822,0.5,0.6963739395141602
2,0.44922712445259094,0.7013735175132751,0.5,0.6960558891296387
3,0.44565993547439575,0.7007172107696533,0.5,0.6958802342414856
4,0.4482758641242981,0.7003825902938843,0.5,0.6957772970199585
5,0.4447086751461029,0.7003173828125,0.5,0.6956849694252014
6,0.44780024886131287,0.7002590894699097,0.5,0.6956243515014648
7,0.44684898853302,0.7001226544380188,0.5,0.6955677270889282
8,0.4442330598831177,0.7000706791877747,0.5,0.6955161094665527
9,0.44946491718292236,0.7000733017921448,0.5,0.6954799890518188
10,0.44780024886131287,0.6999595165252686,0.5,0.6954421401023865
11,0.44946491718292236,0.6999431848526001,0.5,0.6954302787780762
12,0.44399523735046387,0.6999749541282654,0.5,0.6954199075698853
13,0.44946491718292236,0.6999428272247314,0.5,0.6953844428062439
14,0.4485136866569519,0.6999270915985107,0.5,0.6953835487365723
15,0.4458977282047272,0.6999321579933167,0.5,0.6953794360160828
16,0.44756242632865906,0.6999329328536987,0.5,0.6953631043434143
17,0.44732460379600525,0.699927568435669,0.5,0.6953588724136353
18,0.4485136866569519,0.6998945474624634,0.5,0.6953396797180176
19,0.4466111660003662,0.6998035907745361,0.5,0.6953455209732056
20,0.4466111660003662,0.6999133825302124,0.5,0.6953405737876892
21,0.4480380415916443,0.6998201012611389,0.5,0.6953400373458862
22,0.44898930191993713,0.6998072862625122,0.5,0.6953297853469849
23,0.44756242632865906,0.6998457908630371,0.5,0.6953344345092773
24,0.4466111660003662,0.6998640894889832,0.5,0.6953392028808594
25,0.44756242632865906,0.6998276710510254,0.5,0.6953355073928833
26,0.4466111660003662,0.6998735666275024,0.5,0.695331871509552
27,0.446135550737381,0.6998783946037292,0.5,0.6953309774398804
28,0.44518429040908813,0.6999032497406006,0.5,0.6953282356262207
29,0.4482758641242981,0.6998928189277649,0.5,0.6953297853469849
30,0.4458977282047272,0.6998547315597534,0.5,0.6953307390213013
31,0.4480380415916443,0.6998269557952881,0.5,0.6953297853469849
32,0.44780024886131287,0.6998375058174133,0.5,0.6953430771827698
33,0.4442330598831177,0.6998481750488281,0.5,0.6953429579734802
34,0.44756242632865906,0.6998712420463562,0.5,0.6953229904174805
35,0.446135550737381,0.6998046636581421,0.5,0.6953343152999878
36,0.446135550737381,0.6998444199562073,0.5,0.6953262090682983
37,0.44708681106567383,0.6998055577278137,0.5,0.6953272223472595
38,0.44732460379600525,0.6998440027236938,0.5,0.6953310966491699
39,0.44684898853302,0.699802041053772,0.5,0.6953297257423401
